Comunidad Autónoma y Provincia,Ambos sexos,Hombre,Mujer
01 Andalucía,8584147,4229831,4354316
02 Aragón,1341289,662674,678615
"03 Asturias, Principado de",1006060,479739,526321
"04 Balears, Illes",1209906,602649,607257
05 Canarias,2213016,1092723,1120293
06 Cantabria,588387,285133,303254
07 Castilla y León,2383703,1173585,1210118
08 Castilla - La Mancha,2084086,1045115,1038971
09 Cataluña,7901963,3887223,4014740
10 Comunitat Valenciana,5216195,2565926,2650269
11 Extremadura,1054306,521626,532680
12 Galicia,2699424,1299064,1400360
"13 Madrid, Comunidad de",6871903,3288197,3583706
"14 Murcia, Región de",1551692,777819,773873
"15 Navarra, Comunidad Foral de",672155,332575,339580
16 País Vasco,2216302,1077504,1138798
"17 Rioja, La",322282,159151,163131
18 Ceuta,83052,41897,41155
19 Melilla,85493,43162,42331
